English,Turkish
the,o
of,ile ilgili
and,Ve
to,ile
a,A
in,içinde
for,için
is,dır
on,Açık
that,O
by,ile
this,Bu
with,ile
i,Ben
you,Sen
it,BT
not,Olumsuz
or,veya
be,olmak
are,vardır
from,itibaren
at,#AD?
as,gibi
your,senin
all,Tümü
have,sahip olmak
new,yeni
more,Daha
an,BİR
was,oldu
we,Biz
will,irade
home,Ev
can,olabilmek
us,biz
about,hakkında
if,eğer
page,sayfa
my,Benim
has,sahip olmak
search,aramak
free,özgür
but,Ancak
our,bizim
one,bir
other,diğer
do,Yapmak
no,HAYIR
information,bilgi
time,zaman
they,Onlar
site,alan
he,O
up,yukarı
may,mayıs
what,Ne
which,Hangi
their,onların
news,haberler
out,dışarı
use,kullanmak
any,herhangi
there,Orası
see,Görmek
only,sadece
so,Bu yüzden
his,onun
when,Ne zaman
contact,temas etmek
here,Burada
business,işletme
who,DSÖ
web,ağ
also,Ayrıca
now,Şimdi
help,yardım
get,elde etmek
pm,öğleden sonra
view,görüş
online,çevrimiçi
c,C
e,e
first,Birinci
am,ben
been,olmuş
would,istemek
how,Nasıl
were,idi
me,Ben
s,S
services,hizmetler
some,bazı
these,bunlar
click,tıklamak
its,onun
like,beğenmek
service,hizmet
x,X
than,hariç
find,bulmak
price,fiyat
date,tarih
back,geri
top,tepe
people,insanlar
had,vardı
list,liste
name,isim
just,Sadece
over,üzerinde
state,durum
year,yıl
day,gün
into,içine
email,e-posta
two,iki
health,sağlık
n,N
world,dünya
re,tekrar
next,Sonraki
used,kullanılmış
go,Gitmek
b,B
work,iş
last,son
most,en
products,ürünler
music,müzik
buy,satın almak
data,veri
make,yapmak
them,onlara
should,gerekir
product,ürün
system,sistem
post,postalamak
her,o
city,şehir
t,T
add,eklemek
policy,politika
number,sayı
such,çok
please,Lütfen
available,mevcut
copyright,telif hakkı
support,Destek
message,mesaj
after,sonrasında
best,en iyi
software,yazılım
then,Daha sonra
jan,Ocak
good,iyi
video,video
well,Peki
d,D
where,Neresi
info,bilgi
rights,haklar
public,halk
books,kitaplar
high,yüksek
school,okul
through,başından sonuna kadar
m,M
each,her biri
links,bağlantılar
she,o
review,gözden geçirmek
years,yıllar
order,emir
very,çok
privacy,mahremiyet
book,kitap
items,öğeler
company,şirket
r,R
read,Okumak
group,grup
sex,seks
need,ihtiyaç
many,birçok
user,kullanıcı
said,söz konusu
de,de
does,yapmak
set,ayarlamak
under,altında
general,genel
research,araştırma
university,üniversite
january,Ocak
mail,posta
full,tam dolu
map,harita
reviews,incelemeler
program,program
life,hayat
know,Bilmek
games,oyunlar
way,yol
days,günler
management,yönetmek
p,P
part,parça
could,olabilir
great,Harika
united,birleşik
hotel,otel
real,gerçek
item,öğe
international,uluslararası
center,merkez
ebay,ebay
must,mutlak
store,mağaza
travel,seyahat
comments,yorumlar
made,yapılmış
development,gelişim
report,rapor
off,kapalı
member,üye
details,detaylar
line,astar
terms,terimler
before,önce
hotels,oteller
did,yaptı
send,Göndermek
right,Sağ
type,tip
because,Çünkü
local,yerel
those,onlar
using,kullanarak
results,sonuçlar
office,ofis
education,eğitim
national,ulusal
car,araba
design,tasarım
take,almak
posted,yayınlandı
internet,internet
address,adres
community,toplum
within,içinde
states,eyaletler
area,alan
want,istek
phone,telefon
dvd,DVD
shipping,Nakliye
reserved,rezerve
subject,ders
between,arasında
forum,forum
family,aile
l,ben
long,uzun
based,temelli
w,w
code,kod
show,göstermek
o,O
even,eşit
black,siyah
check,kontrol etmek
special,özel
prices,fiyatlar
website,web sitesi
index,dizin
being,yapı
women,kadınlar
much,fazla
sign,imza
file,dosya
link,bağlantı
open,açık
today,Bugün
technology,teknoloji
south,güney
case,dava
project,proje
same,Aynı
pages,sayfalar
uk,İngiltere
version,sürüm
section,bölüm
own,sahip olmak
found,kurmak
sports,spor
house,ev
related,ilgili
security,güvenlik
both,ikisi birden
g,G
county,kontluk
american,Amerikan
photo,fotoğraf
game,oyun
members,üyeler
power,güç
while,sırasında
care,bakım
network,ağ
down,aşağı
computer,bilgisayar
systems,sistemler
three,üç
total,toplam
place,yer
end,son
following,takip etme
download,indirmek
h,H
him,o
without,olmadan
per,başına
access,erişim
think,düşünmek
north,kuzey
resources,kaynaklar
current,akım
posts,gönderiler
big,büyük
media,medya
law,kanun
control,kontrol
water,su
history,tarih
pictures,resimler
size,boyut
art,sanat
personal,kişisel
since,o zamandan beri
including,içermek
guide,rehber
shop,mağaza
directory,dizin
board,pano
location,konum
