Unnamed: 0,English,Turkish
0,the,o
1,of,ile ilgili
2,and,Ve
3,to,ile
4,a,A
5,in,içinde
6,for,için
7,is,dır
8,on,Açık
9,that,O
10,by,ile
11,this,Bu
12,with,ile
13,i,Ben
14,you,Sen
15,it,BT
16,not,Olumsuz
17,or,veya
18,be,olmak
19,are,vardır
20,from,itibaren
21,at,#AD?
22,as,gibi
23,your,senin
24,all,Tümü
25,have,sahip olmak
26,new,yeni
27,more,Daha
28,an,BİR
29,was,oldu
30,we,Biz
31,will,irade
32,home,Ev
33,can,olabilmek
34,us,biz
35,about,hakkında
36,if,eğer
37,page,sayfa
38,my,Benim
39,has,sahip olmak
40,search,aramak
41,free,özgür
42,but,Ancak
43,our,bizim
44,one,bir
45,other,diğer
46,do,Yapmak
47,no,HAYIR
48,information,bilgi
49,time,zaman
50,they,Onlar
51,site,alan
52,he,O
53,up,yukarı
54,may,mayıs
55,what,Ne
56,which,Hangi
57,their,onların
58,news,haberler
59,out,dışarı
60,use,kullanmak
61,any,herhangi
62,there,Orası
63,see,Görmek
64,only,sadece
65,so,Bu yüzden
66,his,onun
67,when,Ne zaman
68,contact,temas etmek
69,here,Burada
70,business,işletme
71,who,DSÖ
72,web,ağ
73,also,Ayrıca
74,now,Şimdi
75,help,yardım
76,get,elde etmek
77,pm,öğleden sonra
78,view,görüş
79,online,çevrimiçi
80,c,C
81,e,e
82,first,Birinci
83,am,ben
84,been,olmuş
85,would,istemek
86,how,Nasıl
87,were,idi
88,me,Ben
89,s,S
90,services,hizmetler
91,some,bazı
92,these,bunlar
93,click,tıklamak
94,its,onun
95,like,beğenmek
96,service,hizmet
97,x,X
98,than,hariç
99,find,bulmak
100,price,fiyat
101,date,tarih
102,back,geri
103,top,tepe
104,people,insanlar
105,had,vardı
106,list,liste
107,name,isim
108,just,Sadece
109,over,üzerinde
110,state,durum
111,year,yıl
112,day,gün
113,into,içine
114,email,e-posta
115,two,iki
116,health,sağlık
117,n,N
118,world,dünya
119,re,tekrar
120,next,Sonraki
121,used,kullanılmış
122,go,Gitmek
123,b,B
124,work,iş
125,last,son
126,most,en
127,products,ürünler
128,music,müzik
129,buy,satın almak
130,data,veri
131,make,yapmak
132,them,onlara
133,should,gerekir
134,product,ürün
135,system,sistem
136,post,postalamak
137,her,o
138,city,şehir
139,t,T
140,add,eklemek
141,policy,politika
142,number,sayı
143,such,çok
144,please,Lütfen
145,available,mevcut
146,copyright,telif hakkı
147,support,Destek
148,message,mesaj
149,after,sonrasında
150,best,en iyi
151,software,yazılım
152,then,Daha sonra
153,jan,Ocak
154,good,iyi
155,video,video
156,well,Peki
157,d,D
158,where,Neresi
159,info,bilgi
160,rights,haklar
161,public,halk
162,books,kitaplar
163,high,yüksek
164,school,okul
165,through,başından sonuna kadar
166,m,M
167,each,her biri
168,links,bağlantılar
169,she,o
170,review,gözden geçirmek
171,years,yıllar
172,order,emir
173,very,çok
174,privacy,mahremiyet
175,book,kitap
176,items,öğeler
177,company,şirket
178,r,R
179,read,Okumak
180,group,grup
181,sex,seks
182,need,ihtiyaç
183,many,birçok
184,user,kullanıcı
185,said,söz konusu
186,de,de
187,does,yapmak
188,set,ayarlamak
189,under,altında
190,general,genel
191,research,araştırma
192,university,üniversite
193,january,Ocak
194,mail,posta
195,full,tam dolu
196,map,harita
197,reviews,incelemeler
198,program,program
199,life,hayat
200,know,Bilmek
201,games,oyunlar
202,way,yol
203,days,günler
204,management,yönetmek
205,p,P
206,part,parça
207,could,olabilir
208,great,Harika
209,united,birleşik
210,hotel,otel
211,real,gerçek
212,f,F
213,item,öğe
214,international,uluslararası
215,center,merkez
216,ebay,ebay
217,must,mutlak
218,store,mağaza
219,travel,seyahat
220,comments,yorumlar
221,made,yapılmış
222,development,gelişim
223,report,rapor
224,off,kapalı
225,member,üye
226,details,detaylar
227,line,astar
228,terms,terimler
229,before,önce
230,hotels,oteller
231,did,yaptı
232,send,Göndermek
233,right,Sağ
234,type,tip
235,because,Çünkü
236,local,yerel
237,those,onlar
238,using,kullanarak
239,results,sonuçlar
240,office,ofis
241,education,eğitim
242,national,ulusal
243,car,araba
244,design,tasarım
245,take,almak
246,posted,yayınlandı
247,internet,internet
248,address,adres
249,community,toplum
250,within,içinde
251,states,eyaletler
252,area,alan
253,want,istek
254,phone,telefon
255,dvd,DVD
256,shipping,Nakliye
257,reserved,rezerve
258,subject,ders
259,between,arasında
260,forum,forum
261,family,aile
262,l,ben
263,long,uzun
264,based,temelli
265,w,w
266,code,kod
267,show,göstermek
268,o,O
269,even,eşit
270,black,siyah
271,check,kontrol etmek
272,special,özel
273,prices,fiyatlar
274,website,web sitesi
275,index,dizin
276,being,yapı
277,women,kadınlar
278,much,fazla
279,sign,imza
280,file,dosya
281,link,bağlantı
282,open,açık
283,today,Bugün
284,technology,teknoloji
285,south,güney
286,case,dava
287,project,proje
288,same,Aynı
289,pages,sayfalar
290,uk,İngiltere
291,version,sürüm
292,section,bölüm
293,own,sahip olmak
294,found,kurmak
295,sports,spor
296,house,ev
297,related,ilgili
298,security,güvenlik
299,both,ikisi birden
300,g,G
301,county,kontluk
302,american,Amerikan
303,photo,fotoğraf
304,game,oyun
305,members,üyeler
306,power,güç
307,while,sırasında
308,care,bakım
309,network,ağ
310,down,aşağı
311,computer,bilgisayar
312,systems,sistemler
313,three,üç
314,total,toplam
315,place,yer
316,end,son
317,following,takip etme
318,download,indirmek
319,h,H
320,him,o
321,without,olmadan
322,per,başına
323,access,erişim
324,think,düşünmek
325,north,kuzey
326,resources,kaynaklar
327,current,akım
328,posts,gönderiler
329,big,büyük
330,media,medya
331,law,kanun
332,control,kontrol
333,water,su
334,history,tarih
335,pictures,resimler
336,size,boyut
337,art,sanat
338,personal,kişisel
339,since,o zamandan beri
340,including,içermek
341,guide,rehber
342,shop,mağaza
343,directory,dizin
344,board,pano
345,location,konum
346,change,değiştirmek
347,white,beyaz
348,text,metin
349,small,küçük
350,rating,derecelendirme
351,rate,oran
352,government,devlet
353,children,çocuklar
354,during,sırasında
355,usa,Amerika
356,return,geri dönmek
357,students,öğrenciler
358,v,v
359,shopping,alışveriş
360,account,hesap
361,times,kez
362,sites,siteler
363,level,seviye
364,digital,dijital
365,profile,profil
366,previous,öncesi
367,form,biçim
368,events,olaylar
369,love,Aşk
370,old,eskimiş
371,john,John
372,main,ana
373,call,Arama
374,hours,saat
375,image,görüntü
376,department,departman
377,title,başlık
378,description,Tanım
379,non,olmayan
380,k,k
381,y,sen
382,insurance,sigorta
383,another,bir diğer
384,why,Neden
385,shall,olacaktır
386,property,mülk
387,class,sınıf
388,cd,CD
389,still,Hala
390,money,para
391,quality,kalite
392,every,Her
393,listing,listeleme
394,content,içerik
395,country,ülke
396,private,özel
397,little,biraz
398,visit,ziyaret etmek
399,save,kaydetmek
400,tools,aletler
401,low,Düşük
402,reply,cevap vermek
403,customer,müşteri
404,december,Aralık
405,compare,karşılaştırmak
406,movies,filmler
407,include,katmak
408,college,kolej
409,value,değer
410,article,madde
411,york,York
412,man,Adam
413,card,kart
414,jobs,işler
415,provide,sağlamak
416,j,J
417,food,yiyecek
418,source,kaynak
419,author,yazar
420,different,farklı
421,press,basmak
422,u,sen
423,learn,öğrenmek
